ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
AMH,AMERICAN HOMES 4 RENT,stocks,us,XNYS,CS,True,usd,0001562401,BBG003NXJNH6,BBG003NXJNJ4,2022-05-09T00:00:00Z
AMHpG,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial intere,stocks,us,XNYS,PFD,True,usd,0001562401,,,2022-05-09T00:00:00Z
AMHpH,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Intere,stocks,us,XNYS,PFD,True,usd,0001562401,,,2022-05-09T00:00:00Z
AMJ,JP Morgan Alerian MLP Index ETN 5/24/24,stocks,us,ARCX,ETN,True,usd,0000019617,BBG000BHV9F9,BBG001SLBY94,2022-05-09T00:00:00Z
AMK,"AssetMark Financial Holdings, Inc.",stocks,us,XNYS,CS,True,usd,0001591587,BBG00F5PBW11,BBG00F5PBW20,2022-05-09T00:00:00Z
AMKR,Amkor Technology Inc,stocks,us,XNAS,CS,True,usd,0001047127,BBG000BCKGW7,BBG001S64YF8,2022-05-09T00:00:00Z
AMLP,Alerian MLP ETF,stocks,us,ARCX,ETF,True,usd,0001414040,BBG0015CS200,BBG001TBMNT5,2022-05-09T00:00:00Z
AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001658551,BBG00DP10YT5,BBG00DP10YW1,2022-05-09T00:00:00Z
AMN,AMN Healthcare Services,stocks,us,XNYS,CS,True,usd,0001142750,BBG000BCT197,BBG001S6Q193,2022-05-09T00:00:00Z
AMNA,ETRACS Alerian Midstream Energy Index ETN,stocks,us,ARCX,ETN,True,usd,0001114446,BBG00VM434D2,BBG00VM43558,2022-05-09T00:00:00Z
AMNB,American National Bankshares Inc,stocks,us,XNAS,CS,True,usd,0000741516,BBG000BG8NR3,BBG001S7NGV6,2022-05-09T00:00:00Z
AMND,ETRACS Alerian Midstream Energy High Dividend Index ETN,stocks,us,ARCX,ETN,True,usd,0001114446,BBG00VYKD1W7,BBG00VYKD2N5,2022-05-09T00:00:00Z
AMOM,Qraft AI-Enhanced US Large Cap Momentum ETF,stocks,us,ARCX,ETF,True,usd,,BBG00P5NRM19,BBG00P5NRMS0,2022-05-09T00:00:00Z
AMOT,Allied Motion Technologies Inc,stocks,us,XNAS,CS,True,usd,0000046129,BBG000BKVYJ3,BBG001S5RST3,2022-05-09T00:00:00Z
AMOV,America Movil SAB de CV,stocks,us,XNYS,ADRC,True,usd,0001129137,BBG000CYNFY5,BBG001SGW6F6,2022-05-09T00:00:00Z
AMP,"Ameriprise Financial, Inc.",stocks,us,XNYS,CS,True,usd,0000820027,BBG000G3QLY3,BBG001SK6096,2022-05-09T00:00:00Z
AMPE,"Ampio Pharmaceuticals, Inc",stocks,us,XASE,CS,True,usd,0001411906,BBG000JKR4K4,BBG001T0DNP3,2022-05-09T00:00:00Z
AMPG,AMPLITECH GROUP INC. COM,stocks,us,XNAS,CS,True,usd,0001518461,BBG00394F954,BBG00394F9X3,2022-05-09T00:00:00Z
AMPGW,"Amplitech Group, Inc. Warrants",stocks,us,XNAS,WARRANT,True,usd,0001518461,BBG00Z9BGRC8,,2022-05-09T00:00:00Z
AMPH,"Amphastar Pharmaceuticals, Inc.",stocks,us,XNAS,CS,True,usd,0001297184,BBG000BW90S6,BBG001SCM4W2,2022-05-09T00:00:00Z
AMPI,"Advanced Merger Partners, Inc.",stocks,us,XNYS,CS,True,usd,0001835636,BBG00Z4B0Y53,BBG00Z4B0Z05,2022-05-09T00:00:00Z
